Name,ID,Zip,County,Address,Latitude,Longitude
Mix 30K2D40NAF,ec34t8th,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 50CNC966,ec33meum,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 45CAX0684SP,ec3aqrrm,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 60MASS04,ec3fyhmj,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 40CNC0423,ec315euc,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 50JNC04,ec3y3kw1,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 70JNV0463,ec3gsu0m,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 30CNX104,ec31f3xd,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 50CNX440,ec3qj0xh,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 80CNV722,ec384mnt,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 50CAX139,ec33xn86,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 35CAF0665,ec3rn71r,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 40JNC913,ec3px0mx,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 70MASS02,ec37m13z,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 30CNC160,ec3tpp89,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 50CNX441,ec329u2m,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 50CAX225,ec3pn1z4,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 50CAX139,ec35c1xg,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 40CNF0679,ec33e4mw,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 40JNX0487,ec35bb68,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 40SNC221SP,ec3ca1y1,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 30K3D44NAF,ec30t0rf,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 40CNC159,ec3944wp,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 70JNF078,ec3dj3bu,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 40CNX0424,ec389kg1,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 30SNX383,ec3qcmcw,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 40CNF05,ec3cqb98,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 50JNC04,ec3169ss,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 40JNC913,ec3k1e47,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 40CNC82SP,ec392w6m,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 60MASS03,ec3215a9,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 35SAC534,ec3fsg4s,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 60JNF634,ec3gcr4q,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 30K1D40NAF,ec33c06j,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 40CNV0379,ec3e26k5,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 30CNV104,ec3rk81y,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 40JNX212,ec3d3p06,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 35CNX309,ec39jzmc,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
Mix 40CNX51,ec35zbyc,30340,Gwinnett County,"2395 Weaver Way, Atlanta, GA 30340, USA",33.9181674,-84.2369614
